id,backers_count,blurb,category_id,category_name,category_parent_id,category_parent_name,category_url,converted_pledged_amount,country,created_at,creator_id,creator_name,creator_url,currency,deadline,fx_rate,goal,launched_at,location_country,location_id,location_name,location_state,location_type,name,percent_funded,pledged,profile_blurb,profile_id,profile_name,profile_project_id,profile_state,profile_state_changed_at,project_url,spotlight,staff_pick,state,state_changed_at,static_usd_rate,usd_exchange_rate,usd_pledged,usd_type
1497949659,185341,A Year of Sanderson: Enjoy books and swag boxes throughout 2023!,47,Fiction,18,Publishing,http://www.kickstarter.com/discover/categories/publishing/fiction,41754153,US,1641845766,74501917,Dragonsteel Entertainment,https://www.kickstarter.com/profile/dragonsteel,USD,1648767600,1,1000000,1646150407,US,2473779,Pleasant Grove,UT,Town,Surprise! Four Secret Novels by Brandon Sanderson,4175.415324,41754153.24,A Year of Sanderson: Enjoy books and swag boxes throughout 2023!,4334820,Surprise! Four Secret Novels by Brandon Sanderson,4334820,active,1648767693,https://www.kickstarter.com/projects/dragonsteel/surprise-four-secret-novels-by-brandon-sanderson,true,true,successful,1648767600,1,1,41754153.24,domestic
1799979574,78471,Color e-paper smartwatch with up to 7 days of battery and a new timeline interface that highlights what's important in your day.,28,Product Design,7,Design,http://www.kickstarter.com/discover/categories/design/product%20design,20338986,US,1423542328,597507018,Pebble Technology,https://www.kickstarter.com/profile/getpebble,USD,1427508000,1,500000,1424789082,US,2467861,Palo Alto,CA,Town,"Pebble Time - Awesome Smartwatch, No Compromises",4067.797254,20338986.27,Color e-paper smartwatch with up to 7 days of battery and a new timeline interface that highlights what's important in your day.,1695644,"Pebble Time - Awesome Smartwatch, No Compromises",1695644,active,1427589733,https://www.kickstarter.com/projects/getpebble/pebble-time-awesome-smartwatch-no-compromises,true,true,successful,1427508015,1,1,20338986.27,domestic
342886736,62642,"The COOLEST is a portable party disguised as a cooler, bringing blended drinks, music and fun to any outdoor occasion.",28,Product Design,7,Design,http://www.kickstarter.com/discover/categories/design/product%20design,13285226,US,1382478674,203090294,Ryan Grepper,https://www.kickstarter.com/profile/ryangrepper,USD,1409360400,1,50000,1404807277,US,2475687,Portland,OR,Town,COOLEST COOLER: 21st Century Cooler that's Actually Cooler,26570.45272,13285226.36,"The COOLEST is a portable party disguised as a cooler, bringing blended drinks, music and fun to any outdoor occasion.",746867,COOLEST COOLER: 21st Century Cooler that's Actually Cooler,746867,active,1428100634,https://www.kickstarter.com/projects/ryangrepper/coolest-cooler-21st-century-cooler-thats-actually,true,true,successful,1409360410,1,1,13285226.36,domestic
374744378,83193,Euro-inspired dungeon crawling sequel to the 2017 smash-hit Gloomhaven,34,Tabletop Games,12,Games,http://www.kickstarter.com/discover/categories/games/tabletop%20games,12969608,US,1581299604,1350948450,Isaac Childres,https://www.kickstarter.com/profile/frosthaven,USD,1588366800,1,500000,1585667038,US,2434562,Lafayette,IN,Town,Frosthaven,2593.9216,12969608,Euro-inspired dungeon crawling sequel to the 2017 smash-hit board game Gloomhaven,3930828,Frosthaven,3930828,active,1588367201,https://www.kickstarter.com/projects/frosthaven/frosthaven,true,true,successful,1588366800,1,1,12969608,domestic
2103598555,66673,"Two affordable, heart rate-enabled smartwatches and a hackable, 3G wearable for phone-free running with GPS, music, and Amazon Alexa.",28,Product Design,7,Design,http://www.kickstarter.com/discover/categories/design/product%20design,12779843,US,1463341264,597507018,Pebble Technology,https://www.kickstarter.com/profile/getpebble,USD,1467262800,1,1000000,1464097792,US,2479714,Redwood City,CA,Town,"Pebble 2, Time 2 + All-New Pebble Core",1277.984349,12779843.49,"Two affordable, heart rate-enabled smartwatches and a hackable, 3G wearable for phone-free running with GPS, music, and Amazon Alexa.",2516776,"Pebble 2, Time 2 + All-New Pebble Core",2516776,active,1467273864,https://www.kickstarter.com/projects/getpebble/pebble-2-time-2-and-core-an-entirely-new-3g-ultra,true,true,successful,1467262800,1,1,12779843.49,domestic
545070200,19264,A cooperative nightmare horror game experience. Hunt intelligent monsters and develop your settlement through a self-running campaign.,34,Tabletop Games,12,Games,http://www.kickstarter.com/discover/categories/games/tabletop%20games,12393139,US,1478708204,2121023188,Kingdom Death,https://www.kickstarter.com/profile/poots,USD,1483830000,1,100000,1480050101,US,2411081,Glendale,NY,Suburb,Kingdom Death: Monster 1.5,12393.13969,12393139.69,A cooperative nightmare horror game experience. Hunt intelligent monsters and develop your settlement through a self-running campaign.,2752819,Kingdom Death: Monster 1.5,2752819,active,1483997388,https://www.kickstarter.com/projects/poots/kingdom-death-monster-15,true,true,successful,1483830003,1,1,12393139.69,domestic
1198848775,3199,Expandable capacity (3.6-25kWh) | Power almost anything (3.6-7.2kW) | Home battery ecosystem,52,Hardware,16,Technology,http://www.kickstarter.com/discover/categories/technology/hardware,12179651,US,1625053977,1436444454,EcoFlow,https://www.kickstarter.com/profile/ecoflow,USD,1631540391,1,100000,1626356391,US,2442047,Los Angeles,CA,Town,EcoFlow DELTA Pro: The Portable Home Battery,12179.65105,12179651.05,null,4241418,null,4241418,inactive,1625053977,https://www.kickstarter.com/projects/ecoflow/ecoflow-delta-pro,true,true,successful,1631540391,1,1,12179651.05,domestic
1289129165,27168,A full-featured tripod in a truly portable form.,28,Product Design,7,Design,http://www.kickstarter.com/discover/categories/design/product%20design,12143435,US,1556224168,97103764,Peak Design,https://www.kickstarter.com/profile/peak-design,USD,1563494400,1,500000,1558447202,US,2487956,San Francisco,CA,Town,Travel Tripod by Peak Design,2428.687134,12143435.67,A full-featured tripod in a truly portable form.,3718928,Travel Tripod by Peak Design,3718928,active,1563558922,https://www.kickstarter.com/projects/peak-design/travel-tripod-by-peak-design,true,true,successful,1563494400,1,1,12143435.67,domestic
597041739,88887,Critical Role's The Legend of Vox Machina reunites your favorite heroes for a professional-quality animated special!,29,Animation,11,Film & Video,http://www.kickstarter.com/discover/categories/film%20&%20video/animation,11385449,US,1549660952,1007835190,Critical Role,https://www.kickstarter.com/profile/criticalrole,USD,1555657140,1,750000,1551722069,US,2442047,Los Angeles,CA,Town,Critical Role: The Legend of Vox Machina Animated Special,1518.0598733333,11385449.05,null,3665306,null,3665306,inactive,1549660952,https://www.kickstarter.com/projects/criticalrole/critical-role-the-legend-of-vox-machina-animated-s,true,true,successful,1555657140,1,1,11385449.05,domestic
506924864,68929,"Pebble is a customizable watch. Download new watchfaces, use sports and fitness apps, get notifications from your phone.",28,Product Design,7,Design,http://www.kickstarter.com/discover/categories/design/product%20design,10266845,US,1332451302,597507018,Pebble Technology,https://www.kickstarter.com/profile/getpebble,USD,1337396400,1,100000,1334120344,US,2467861,Palo Alto,CA,Town,Pebble: E-Paper Watch for iPhone and Android,10266.84574,10266845.74,"Pebble is a customizable watch. Download new watchfaces, use sports and fitness apps, get notifications from your phone.",114303,Pebble: E-Paper Watch for iPhone and Android,114303,active,1455690795,https://www.kickstarter.com/projects/getpebble/pebble-e-paper-watch-for-iphone-and-android,true,true,successful,1337396419,1,1,10266845.74,domestic
